Vessel Call Cd,Vessel Record Id,Cargo Client Code Cd,Berth Nbr,Actual Berth,Actual Unberth,First Activity,Last Activity,Gross Hour,Rain Hours,Gross Vessel Throughput,First Cargo,Last Cargo,Range Of Tonnage,Throughput per hour,Incident - Crane,Incident - Container
1500000921,null,Cargo Client Code B,J1C,23/01/2015 14:15:00,24/01/2015 13:50:00,23/01/2015 14:30:00,24/01/2015 13:40:00,23.58,0.08,1008.8,23/01/2015 16:00:00,24/01/2015 13:40:00,1K-5K,43,1,1
1500002731,48274,Cargo Client Code B,J7,10/03/2015 09:20:00,11/03/2015 06:30:00,10/03/2015 09:30:00,10/03/2015 23:05:00,21.17,1,1004.92,10/03/2015 12:00:00,10/03/2015 23:05:00,1K-5K,47,1,1
1500003687,45736,Cargo Client Code F,J7,17/04/2015 10:15:00,18/04/2015 06:50:00,17/04/2015 10:30:00,18/04/2015 05:30:00,20.58,0.2,1003,,18/04/2015 05:30:00,1K-5K,49,1,1
1500002303,48275,Cargo Client Code B,J6,03/02/2015 09:25:00,03/03/2015 06:30:00,03/02/2015 10:15:00,03/02/2015 21:15:00,20.75,1.73,1014.3,03/02/2015 13:00:00,03/02/2015 21:15:00,1K-5K,49,1,1
1500001050,81690,Cargo Client Code B,J4A/4,28/01/2015 13:15:00,29/01/2015 09:30:00,28/01/2015 14:00:00,29/01/2015 05:30:00,20.25,0.02,1034.94,,29/01/2015 05:30:00,1K-5K,51,1,1
1500003595,48788,Cargo Client Code D,J6,09/04/2015 22:15:00,10/04/2015 19:30:00,09/04/2015 22:15:00,10/04/2015 16:30:00,21.25,0.08,1113,10/04/2015 16:30:00,10/04/2015 16:30:00,1K-5K,52,1,1
1500006706,64839,Cargo Client Code K,J4/5,10/06/2015 19:15:00,11/06/2015 13:40:00,10/06/2015 19:30:00,11/06/2015 10:30:00,18.42,0,1002.39,11/06/2015 10:30:00,,1K-5K,54,1,1
1500006613,5341,Cargo Client Code B,J2A,10/06/2015 09:15:00,11/06/2015 06:30:00,10/06/2015 09:30:00,11/06/2015 02:00:00,21.25,0,1163.41,,11/06/2015 02:00:00,1K-5K,55,1,1
1500001662,48274,Cargo Client Code B,J5/6,12/02/2015 09:10:00,13/02/2015 06:30:00,12/02/2015 10:10:00,12/02/2015 20:40:00,21.33,0.6,1176.96,12/02/2015 11:30:00,12/02/2015 20:40:00,1K-5K,55,1,1
1500001516,25549,Cargo Client Code B,J2,10/02/2015 08:45:00,11/02/2015 07:10:00,10/02/2015 09:00:00,11/02/2015 07:00:00,22.42,0,1259.26,10/02/2015 16:00:00,11/02/2015 07:00:00,1K-5K,56,1,1
